# epoch, layer, learning_rate, rnn.errors[-1], rnn.rmse_val, hidden_dim
1,1,0.0001,169.313,0.207026747003,10
1,1,0.001,65.4196,0.127233239927,10
1,1,0.01,40.954,0.120561231404,10
1,1,0.1,38.0453,0.12703697518,10
1,2,0.0001,161.823,0.19837342893,10
1,2,0.001,51.741,0.153710923106,10
1,2,0.01,37.5528,0.14894110776,10
1,2,0.1,43.7627,0.124412031682,10
1,3,0.0001,150.424,0.192305778865,10
1,3,0.001,55.7361,0.122159253799,10
1,3,0.01,35.2101,0.118069135733,10
1,3,0.1,29.2346,0.131351680133,10
1,4,0.0001,148.019,0.192637643467,10
1,4,0.001,54.5317,0.133071221478,10
1,4,0.01,32.5924,0.119401164898,10
1,4,0.1,26.3644,0.133507747371,10
1,5,0.0001,145.519,0.190737722948,10
1,5,0.001,64.1301,0.158008908882,10
1,5,0.01,36.2188,0.111287420125,10
1,5,0.1,13.3893,0.134368327307,10
1,6,0.0001,145.1,0.191492835343,10
1,6,0.001,86.2513,0.164225185256,10
1,6,0.01,36.9957,0.112323865486,10
1,6,0.1,23.9228,0.124529412716,10
1,7,0.0001,143.731,0.18871777047,10
1,7,0.001,92.2383,0.15602198438,10
1,7,0.01,26.1946,0.132694556988,10
1,7,0.1,24.9903,0.122135239155,10
3,1,0.0001,108.183,0.166207157409,10
3,1,0.001,49.8477,0.147368775232,10
3,1,0.01,35.0409,0.160174296766,10
3,1,0.1,21.4762,0.127959434937,10
3,2,0.0001,97.5714,0.157323862201,10
3,2,0.001,40.3038,0.151348736534,10
3,2,0.01,25.8825,0.145843682481,10
3,2,0.1,23.2366,0.144447978056,10
3,3,0.0001,96.643,0.158268818887,10
3,3,0.001,41.2738,0.157664269139,10
3,3,0.01,15.7227,0.14662454765,10
3,3,0.1,11.5938,0.137940197229,10
3,4,0.0001,91.2084,0.196007889178,10
3,4,0.001,44.348,0.151440262147,10
3,4,0.01,7.32869,0.167925994259,10
3,4,0.1,5.41332,0.146868607196,10
3,5,0.0001,91.4224,0.178487060562,10
3,5,0.001,48.0053,0.12964788899,10
3,5,0.01,9.78232,0.155711345634,10
3,5,0.1,2.54205,0.1419031323,10
3,6,0.0001,93.1855,0.158564554957,10
3,6,0.001,53.2682,0.23148811284,10
3,6,0.01,17.7212,0.135851346574,10
3,6,0.1,209.431,0.237315783087,10
3,7,0.0001,91.6289,0.1645830549,10
3,7,0.001,61.5442,0.13720698978,10
3,7,0.01,8.58563,0.165952427538,10
3,7,0.1,4.36034,0.147191688402,10
5,1,0.0001,74.8445,0.138319169914,10
5,1,0.001,43.4208,0.242339198552,10
5,1,0.01,28.8303,0.138148002163,10
5,1,0.1,18.6304,0.145445670337,10
5,2,0.0001,58.5706,0.136011472179,10
5,2,0.001,36.8676,0.146066379252,10
5,2,0.01,13.6785,0.177955244634,10
5,2,0.1,5.16659,0.164542188576,10
5,3,0.0001,57.6331,0.155560869867,10
5,3,0.001,31.8715,0.141715727746,10
5,3,0.01,8.58674,0.202725020641,10
5,3,0.1,1.56278,0.151411785896,10
5,4,0.0001,56.4017,0.133236078418,10
5,4,0.001,39.3735,0.315217195119,10
5,4,0.01,4.79567,0.152678207879,10
5,4,0.1,2.93256,0.146738987842,10
5,5,0.0001,55.9262,0.128989789748,10
5,5,0.001,45.4347,0.239180603312,10
5,5,0.01,2.84721,0.165875029743,10
5,5,0.1,2.56781,0.137101827316,10
5,6,0.0001,88.8648,0.169082431694,10
5,6,0.001,55.7069,0.150882378975,10
5,6,0.01,2.81277,0.157290694781,10
5,6,0.1,28.2787,0.12875255235,10
5,7,0.0001,85.9101,0.171422671386,10
5,7,0.001,50.1293,0.198947296053,10
5,7,0.01,2.09458,0.157979033555,10
5,7,0.1,28.6281,0.196459448822,10
